Draw Date,Winning Numbers,Multiplier
3/9/2016,14 23 32 34 68 03,3
3/5/2016,03 27 34 59 69 19,2
3/2/2016,12 13 44 52 62 06,2
2/6/2016,04 13 31 36 52 08,3
2/3/2016,26 28 31 60 67 23,3
1/9/2016,16 19 32 34 57 13,3
1/6/2016,02 11 47 62 63 17,3
1/2/2016,05 06 15 29 42 10,2
9/9/2015,44 45 47 50 51 08,2
9/5/2015,10 16 18 29 45 19,2
9/2/2015,17 22 30 46 56 16,3
8/8/2015,09 34 48 52 54 15,4
8/5/2015,09 11 14 16 42 19,2
8/1/2015,07 13 24 49 57 15,3
7/8/2015,04 15 25 27 30 18,3
7/4/2015,03 06 14 18 24 21,3
7/1/2015,07 24 26 31 41 25,2
6/6/2015,08 13 18 27 43 15,4
6/3/2015,06 08 13 37 40 11,2
5/9/2015,04 15 17 35 58 17,3
5/6/2015,23 24 27 39 41 30,5
5/2/2015,02 06 11 30 31 33,3
4/8/2015,01 19 45 46 58 29,2
4/4/2015,33 39 40 41 54 28,3
4/1/2015,02 30 33 39 44 01,3
3/7/2015,34 36 38 42 50 33,4
3/4/2015,08 12 15 35 50 32,2
2/7/2015,05 10 21 34 58 33,5
2/4/2015,24 36 51 52 56 22,2
1/7/2015,14 15 47 49 59 10,2
1/3/2015,04 18 43 46 55 25,3
